Band,Song,Song Writer,Lead Vocals,Guitar,Bass,Drums,Backup Vocals,URL
Tna Keane,No Guarantees,Tina Keane,Tina Keane,Tina Keane,Tina Keane,Tina Keane,Tina Keane,https://timkeane.github.io/tina-keane/mp3/Tina%20Keane%20-%20No%20Guarantees.mp3
,Coming Back for More,Tina Keane,Tina Keane,Tina Keane,Tina Keane,Tina Keane,Tina Keane,https://timkeane.github.io/tina-keane/mp3/Tina%20Keane%20-%20Coming%20Back%20For%20More.mp3
,Now I Understand,Tina Keane,Tina Keane,Tina Keane,Tina Keane,Tina Keane,Tina Keane,https://timkeane.github.io/tina-keane/mp3/Tina%20Keane%20-%20Now%20I%20Understand.mp3
,Can't Stop Thinking,Tina Keane,Tina Keane,Tina Keane,Tina Keane,Tina Keane,Tina Keane,https://timkeane.github.io/tina-keane/mp3/Tina%20Keane%20-%20Can't%20Stop%20Thinking.mp3
,Me Against You,Tina Keane,Tina Keane,Tina Keane,Tina Keane,Tina Keane,Tina Keane,https://timkeane.github.io/tina-keane/mp3/Tina%20Keane%20-%20Me%20Against%20You.mp3
,Moving Forward,Tina Keane,Tina Keane,Tina Keane,Tina Keane,Tina Keane,Tina Keane,https://timkeane.github.io/tina-keane/mp3/Tina%20Keane%20-%20Moving%20Forward.mp3
Siren Song,Moving In Circles,,,Tina Keane,Gina Devito,,,https://timkeane.github.io/tina-keane/mp3/Siren%20Song%20-%20Moving%20In%20Circles.mp3
,How Am I to Blame,,,Tina Keane,Gina Devito,,,https://timkeane.github.io/tina-keane/mp3/Siren%20Song%20-%20How%20Am%20I%20to%20Blame.mp3
,Seasons Changing,Gina Devito,,Tina Keane,Gina Devito,,,https://timkeane.github.io/tina-keane/mp3/Siren%20Song%20-%20Seasons%20Changing.mp3
,Parallel Lines,,,Tina Keane,Gina Devito,,,https://timkeane.github.io/tina-keane/mp3/Siren%20Song%20-%20Parallel%20Lines.mp3
,Shades of Blue,,,Tina Keane,Gina Devito,,,https://timkeane.github.io/tina-keane/mp3/Siren%20Song%20-%20Shades%20of%20Blue.mp3
,We’ll Never Know,,,Tina Keane,Gina Devito,,,https://timkeane.github.io/tina-keane/mp3/Siren%20Song%20-%20We'll%20Never%20Know.mp3
Oh Mr. Grant!,She Sells Sanctuary,The Cult (cover),Melanie Fallon,Tina Keane,Gina Devito,,,https://timkeane.github.io/tina-keane/mp3/Oh%20Mr.%20Grant!%20-%20She%20Sells%20Sanctuary.mp3
,Run and Hide,Gina Devito,Melanie Fallon,Tina Keane,Gina Devito,,,https://timkeane.github.io/tina-keane/mp3/Oh%20Mr.%20Grant%20-%20Run%20and%20Hide.mp3
,The Chosen One,Tina Keane,Melanie Fallon,Tina Keane,Gina Devito,,,https://timkeane.github.io/tina-keane/mp3/Oh%20Mr.%20Grant!%20-%20The%20Chosen%20One.mp3
,Let Me In,,Melanie Fallon,Tina Keane,Gina Devito,,,https://timkeane.github.io/tina-keane/mp3/Oh%20Mr.%20Grant!%20-%20Let%20Me%20In.mp3
,Now I Understand,Tina Keane,Melanie Fallon,Tina Keane,Gina Devito,,,https://timkeane.github.io/tina-keane/mp3/Oh%20Mr%20%20Grant!%20%20%20Now%20I%20Understand.mp3
Yellowfin,Bitter Bliss,Tina Keane,Stacy Lee Raddatz,Tina Keane,Scott Selig,Joey Hummel,,https://timkeane.github.io/tina-keane/mp3/Yellowfin%20-%20Bitter%20Bliss.mp3
,Hasty,Tina Keane,Stacy Lee Raddatz,Tina Keane,Scott Selig,Joey Hummel,,https://timkeane.github.io/tina-keane/mp3/Yellowfin%20-%20Hasty.mp3
,Slow,Tina Keane,Stacy Lee Raddatz,Tina Keane,Scott Selig,Joey Hummel,,https://timkeane.github.io/tina-keane/mp3/Yellowfin%20-%20Slow.mp3
,Drive Cars,,Stacy Lee Raddatz,Tina Keane,Scott Selig,Joey Hummel,,https://timkeane.github.io/tina-keane/mp3/Yellowfin%20-%20Drive%20Cars.mp3